#Column	separation	(F9.2)	Distance from master source to center of cone search	(.separation)	["arcsec"]	[pos.angDistance]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source and/or background regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[]
#Column	streak_src_flag	(A5)	Source is located on an ACIS readout streak in all observations; source properties may be affected	(master_source.streak_src_flag)	[""]	[]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[]
separation	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	sat_src_flag	streak_src_flag	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w
     0.96	 2CXO J095552.2+694047	 09 55 52.26	+69 40 47.25	   0.48	     0.42	     75.5	    17.29	                TRUE	 TRUE	FALSE	FALSE	1.013e-14	8.061e-15	1.209e-14	         	         	         
     1.53	 2CXO J095552.4+694048	 09 55 52.43	+69 40 48.46	   0.30	     0.30	     28.9	    16.77	                TRUE	 TRUE	FALSE	FALSE	3.695e-14	3.368e-14	4.022e-14	         	         	         
     1.93	 2CXO J095552.7+694045	 09 55 52.73	+69 40 45.77	   0.29	     0.29	    178.2	    34.97	                TRUE	 TRUE	FALSE	FALSE	1.261e-13	1.232e-13	1.288e-13	         	         	         
     2.49	 2CXO J095552.0+694045	 09 55 52.05	+69 40 45.39	   0.31	     0.30	     19.3	    21.69	                TRUE	 TRUE	FALSE	FALSE	2.798e-14	2.476e-14	3.099e-14	         	         	         
     3.37	 2CXO J095552.3+694043	 09 55 52.33	+69 40 43.61	   0.29	     0.29	      0.0	    27.23	                TRUE	 TRUE	FALSE	FALSE	1.961e-14	1.773e-14	2.149e-14	         	         	         
     4.05	 2CXO J095552.1+694043	 09 55 52.13	+69 40 43.18	   0.30	     0.30	      0.0	    22.76	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     4.18	 2CXO J095553.1+694048	 09 55 53.18	+69 40 48.40	   0.30	     0.29	      7.0	    26.81	                TRUE	 TRUE	FALSE	FALSE	7.139e-14	6.858e-14	7.404e-14	         	         	         
     4.54	 2CXO J095551.5+694045	 09 55 51.58	+69 40 45.84	   0.31	     0.30	     21.2	    57.26	                TRUE	 TRUE	FALSE	FALSE	3.655e-14	3.282e-14	4.028e-14	         	         	         
     4.65	 2CXO J095551.9+694043	 09 55 51.92	+69 40 43.09	   0.30	     0.30	      0.0	    23.01	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     5.42	 2CXO J095552.2+694041	 09 55 52.23	+69 40 41.61	   0.30	     0.30	      0.0	    15.81	                TRUE	 TRUE	FALSE	FALSE	1.007e-14	8.523e-15	1.153e-14	         	         	         
     5.81	 2CXO J095551.8+694051	 09 55 51.83	+69 40 51.82	   0.30	     0.29	     65.7	    22.20	                TRUE	 TRUE	FALSE	FALSE	6.296e-15	4.801e-15	7.713e-15	         	         	         
     6.75	 2CXO J095551.2+694043	 09 55 51.28	+69 40 43.88	   0.29	     0.29	      0.0	    89.60	                TRUE	 TRUE	FALSE	FALSE	2.485e-12	2.456e-12	2.512e-12	         	         	         
     6.94	 2CXO J095553.0+694053	 09 55 53.04	+69 40 53.09	   0.30	     0.30	      0.0	    19.81	                TRUE	 TRUE	FALSE	FALSE	4.203e-14	3.941e-14	4.465e-14	         	         	         
     7.80	 2CXO J095551.1+694050	 09 55 51.10	+69 40 50.56	   0.30	     0.30	      0.0	    12.64	                TRUE	 TRUE	FALSE	FALSE	1.087e-14	8.253e-15	1.348e-14	         	         	         
     7.83	 2CXO J095550.9+694045	 09 55 50.97	+69 40 45.10	   0.29	     0.29	     80.9	   130.76	                TRUE	 TRUE	FALSE	FALSE	8.424e-14	7.859e-14	8.948e-14	         	         	         
     8.25	 2CXO J095553.8+694050	 09 55 53.84	+69 40 50.73	   0.29	     0.29	     55.2	    20.63	                TRUE	 TRUE	FALSE	FALSE	         	         	         	         	         	         
     9.20	 2CXO J095552.9+694038	 09 55 52.99	+69 40 38.21	   0.30	     0.30	      0.0	     4.39	                TRUE	 TRUE	FALSE	FALSE	3.116e-15	2.062e-15	4.171e-15	         	         	         
